A,149.23,0.9
AAP,143.28,6
AAPL,131.86,0.92
ABBV,163.1,5.92
ABC,170.01,1.94
ABT,108.18,2.04
ACN,266.09,4.48
ADI,163.84,3.04
ADM,94.62,1.6
ADP,240.94,5
AEE,89.53,2.36
AEP,95.69,3.32
AES,28.68,0.66
AFL,71.75,1.68
AIG,63.16,1.28
AIZ,125.03,2.8
AJG,188.41,2.04
ALB,226.96,1.58
ALL,136.37,3.4
ALLE,105.03,1.64
AMAT,97.22,1.04
AMCR,12.06,0.49
AME,139.38,0.88
AMGN,263.92,8.52
AMP,308.27,5
AMT,212.45,6.24
AON,300.59,2.24
AOS,56.9,1.2
APA,47.25,1
APD,312.04,6.48
APH,75.81,0.84
ARE,147.24,4.84
ATO,115.1,2.96
ATVI,75.95,0.47
AVB,163.03,6.36
AVGO,552.43,18.4
AVY,181.11,3
AWK,153.02,2.62
AXP,147.02,2.08
BAC,32.47,0.88
BALL,51.63,0.8
BAX,50.17,1.16
BBWI,41.94,0.8
BBY,81.35,3.52
BDX,254.47,3.64
BEN,26.85,1.2
BK,44.65,1.48
BKR,29.1,0.76
BLK,703.94,19.52
BMY,72.89,2.28
BR,134.48,2.9
BRO,56.94,0.46
BWA,40,0.68
BXP,68.4,3.92
C,44.26,2.04
CAG,38.84,1.32
CAH,80.05,1.98
CARR,41.79,0.74
CAT,239.87,4.8
CB,219.65,3.32
CBOE,126.18,2
CCI,136.98,6.26
CDW,178.14,2
CE,102.56,2.8
CEG,88.04,0.56
CF,90.74,1.6
CFG,38.9,1.68
CHD,82.06,1.05
CHRW,93.08,2.2
CI,334.31,4.48
CINF,104.46,2.76
CL,79.45,1.88
CLX,144.11,4.72
CMA,66.08,2.72
CMCSA,35.14,1.08
CME,173.33,4
CMI,241.26,6.28
CMS,63.62,1.84
CNP,30.69,0.72
COF,90.69,2.4
COO,332.73,0.06
COP,117.05,1.92
COST,462.65,3.6
CPB,57.28,1.48
CPT,111.31,3.65
CSCO,47.48,1.52
CSX,31.25,0.4
CTAS,457.24,4.2
CTRA,25.2,2.6
CTSH,56.02,1.08
CTVA,59.38,0.6
CVS,93.56,2.2
CVX,177.4,5.68
D,60.79,2.67
DD,68.73,1.32
DE,436.93,4.52
DFS,97.6,2.4
DG,247.55,2.2
DGX,156.31,2.64
DHI,89.18,0.9
DHR,259.86,1
DLR,100.87,4.88
DOV,134.72,2.02
DOW,50.86,2.8
DPZ,353.02,4.4
DRI,138.84,4.84
DTE,118.54,3.54
DUK,102.99,4.02
DVN,62.51,6.2
EA,121.51,0.76
EBAY,40.17,0.88
ECL,144.54,2.04
ED,95.85,3.16
EFX,195.73,1.56
EIX,65.18,2.8
EL,241.02,2.4
ELV,514.29,5.12
EMN,82.18,3.04
EMR,95.54,2.06
EOG,130.61,3
EQIX,657.68,12.4
EQR,59.44,2.5
EQT,36.21,0.6
ES,84.23,2.55
ESS,211.65,8.8
ETN,156.8,3.24
ETR,113.43,4.04
EVRG,63.34,2.29
EXC,43.04,1.35
EXPD,107.31,1.34
EXR,146.91,6
F,11.36,0.6
FANG,137.03,12.2
FAST,47.76,1.24
FCX,38.1,0.6
FDS,398.04,3.56
FDX,175.93,4.6
FE,42,1.56
FIS,66.92,1.88
FITB,32.41,1.32
FMC,126.34,2.12
FOX,28.85,0.5
FOXA,30.76,0.5
FRC,119.4,1.08
FRT,102.34,4.32
FTV,64.15,0.28
GD,247.9,5.04
GE,81.79,0.32
GILD,84.75,2.92
GIS,85.41,2.16
GL,120.14,0.83
GLW,31.75,1.08
GM,33.83,0.36
GPC,176.57,3.58
GPN,96.72,1
GRMN,91.26,2.92
GS,345.51,10
GWW,565.1,6.88
HAL,39.09,0.48
HAS,58.21,2.8
HBAN,14.05,0.62
HCA,240.74,2.24
HD,318.73,7.6
HES,141.68,1.5
HIG,76.13,1.54
HII,230.07,4.72
HLT,126.43,0.6
HON,213.87,4.12
HPE,15.75,0.48
HPQ,26.76,1
HRL,45.63,1.04
HST,16.34,0.48
HSY,235.88,4.14
HUM,513.96,3.15
HWM,39.06,0.16
IBM,141.65,6.6
ICE,102.81,1.52
IEX,229.33,2.4
IFF,103.9,3.24
INTC,26.09,1.46
INTU,384.49,3.12
INVH,29.9,0.88
IP,34.73,1.85
IPG,33.42,1.16
IR,52.28,0.08
IRM,50.63,2.47
ITW,221.97,5.24
IVZ,18.38,0.75
J,120.86,0.92
JBHT,177.36,1.6
JCI,64.1,1.4
JKHY,177.34,1.96
JNJ,177.48,4.52
JNPR,31.67,0.84
JPM,131.28,4
K,72.18,2.36
KDP,36.37,0.8
KEY,17.18,0.78
KHC,40.52,1.6
KIM,21.27,0.88
KLAC,377.39,5.2
KMB,137.15,4.64
KMI,18.14,1.11
KO,63.82,1.76
KR,45.89,1.04
L,57.85,0.25
LDOS,105.17,1.44
LEN,90.62,1.5
LH,231.65,2.88
LHX,206.24,4.48
LIN,329.33,4.68
LKQ,53.64,1
LLY,367.9,3.92
LMT,483.29,12
LNC,30.13,1.8
LNT,55.3,1.71
LOW,201.88,4.2
LRCX,412.12,6.9
LUMN,5.24,1
LW,89.63,0.98
LYB,83.13,4.76
MA,343.6,1.96
MAA,156.35,5
MAR,148.58,1.2
MAS,47.13,1.12
MCD,267.57,6.08
MCHP,69.93,1.2
MCK,383.67,2.16
MCO,278.82,2.8
MDLZ,67.1,1.54
MDT,77.5,2.72
MET,72.27,2
MGM,33.82,0.01
MKC,84.22,1.48
MKTX,280.85,2.8
MLM,338.59,2.64
MMC,165.59,2.36
MMM,120.14,5.96
MO,46.24,3.76
MOS,45.14,0.6
MPC,115.12,2.32
MPWR,350.61,3
MRK,111.86,2.76
MRO,27.44,0.32
MS,86.11,3.1
MSCI,463.82,5
MSFT,238.73,2.72
MSI,256.63,3.16
MTB,144.56,4.8
MU,50.2,0.46
NDAQ,61.28,0.8
NDSN,236.32,2.6
NEE,84.17,1.7
NEM,47.85,2.2
NI,27.71,0.94
NKE,116.25,1.22
NOC,534.77,6.92
NRG,31.91,1.4
NSC,247.5,4.96
NTAP,59.04,2
NTRS,88.03,3
NUE,136.08,2
NVDA,152.06,0.16
NWL,12.99,0.92
NWS,18.56,0.2
NWSA,18.31,0.2
NXPI,157.67,3.38
O,64.41,2.98
ODFL,286.1,1.2
OGN,27.93,1.12
OKE,65.56,3.74
OMC,80.5,2.8
ORCL,80.85,1.28
OTIS,78.36,1.16
OXY,63.95,0.52
PARA,16.66,0.96
PAYX,116.01,3.16
PCAR,100.55,1.48
PEAK,25.17,1.2
PEG,61.08,2.16
PEP,182.26,4.6
PFE,51.83,1.6
PFG,85.56,2.56
PG,152.62,3.65
PGR,129.44,0.4
PH,290.96,5.32
PHM,45.79,0.6
PKG,128.7,5
PKI,140.63,0.28
PLD,113.62,3.16
PM,101.69,5.08
PNC,155.02,6
PNR,44.4,0.84
PNW,77.93,3.46
POOL,305.6,4
PPG,126.72,2.48
PPL,29.54,0.9
PRU,99.56,4.8
PSA,283.21,8
PSX,103.94,3.88
PWR,144.2,0.28
PXD,229.11,20.35
QCOM,110.84,3
RE,334.92,6.6
REG,62.64,2.5
RF,21.22,0.8
RHI,73.38,1.72
RJF,107.35,1.36
RL,104.36,3
RMD,208.32,1.76
ROK,256.74,4.48
ROL,37.12,0.52
ROP,430.11,2.48
ROST,115.48,1.24
RSG,130.77,1.98
RTX,99.3,2.2
SBAC,282.51,2.84
SBNY,115,2.24
SBUX,98.27,2.12
SCHW,81.77,0.88
SEE,49.96,0.8
SHW,242.67,2.4
SJM,159.44,4.08
SLB,52.99,0.7
SNA,227.74,5.68
SO,71.74,2.72
SPG,117.91,7
SPGI,332.94,3.4
SRE,157.75,4.58
STE,182.06,1.88
STLD,102.59,1.36
STT,77.49,2.52
STX,50.51,2.8
STZ,232.41,3.2
SWK,73.94,3.2
SWKS,88.85,2.48
SYF,32.75,0.92
SYK,242.84,2.78
SYY,78.09,1.96
T,18.31,1.11
TAP,51.93,1.52
TECH,82.73,1.28
TEL,113.95,2.24
TER,86.56,0.44
TFC,42.59,2.08
TFX,248.81,1.36
TGT,143.15,4.32
TJX,79.5,1.18
TMO,540.68,1.2
TPR,37.42,1.2
TRGP,73.36,1.4
TROW,111.12,4.8
TRV,189.48,3.72
TSCO,217.06,3.68
TSN,61.35,1.84
TT,169.95,2.68
TXN,164.38,4.96
TXT,70.41,0.08
UDR,38.75,1.52
UHS,140.76,0.8
UNH,531.31,6.6
UNP,209.91,5.2
UPS,177.01,6.08
USB,43.2,1.92
V,205.83,1.5
VFC,26.07,2
VICI,32.67,1.56
VLO,124.37,3.92
VMC,175.2,1.6
VNO,21.45,2.12
VRSK,175.61,1.24
VTR,45.49,1.8
VTRS,11.01,0.48
VZ,38.41,2.61
WAB,100.49,0.6
WBA,38.63,1.92
WEC,95.48,2.91
WELL,65.07,2.44
WFC,40.98,1.2
WHR,141.62,7
WM,159.21,2.6
WMB,33.32,1.7
WMT,143.77,2.24
WRB,73.45,0.4
WRK,35.46,1
WST,235.13,0.72
WTW,244.39,3.28
WY,31.49,0.72
XEL,70.93,1.95
XOM,108.68,3.52
XRAY,31.83,0.5
XYL,109.73,1.2
YUM,128.9,2.28
ZBH,126.69,0.96
ZION,48.45,1.64
ZTS,145.76,1.3
